ubuntu@ip-172-31-40-74:~$ kubectl get events
LAST SEEN   TYPE      REASON                    OBJECT                                                    MESSAGE
41h         Normal    Pulling                   pod/nginx-1                                               Pulling image "nginx"
41h         Normal    Pulled                    pod/nginx-1                                               Successfully pulled image "nginx" in 614ms (1.198s including waiting)
41h         Normal    Created                   pod/nginx-1                                               Created container nginx-container
41h         Normal    Started                   pod/nginx-1                                               Started container nginx-container
56m         Normal    SandboxChanged            pod/nginx-1                                               Pod sandbox changed, it will be killed and re-created.
56m         Normal    Pulling                   pod/nginx-1                                               Pulling image "nginx"
56m         Normal    Pulled                    pod/nginx-1                                               Successfully pulled image "nginx" in 597ms (597ms including waiting)
56m         Normal    Created                   pod/nginx-1                                               Created container nginx-container
56m         Normal    Started                   pod/nginx-1                                               Started container nginx-container
3d22h       Normal    Scheduled                 pod/nginx-2                                               Successfully assigned default/nginx-2 to ip-172-31-40-74
3d22h       Normal    Pulling                   pod/nginx-2                                               Pulling image "nginx"
3d22h       Normal    Pulled                    pod/nginx-2                                               Successfully pulled image "nginx" in 598ms (598ms including waiting)
3d22h       Normal    Created                   pod/nginx-2                                               Created container nginx-container
3d22h       Normal    Started                   pod/nginx-2                                               Started container nginx-container
41h         Normal    SandboxChanged            pod/nginx-2                                               Pod sandbox changed, it will be killed and re-created.
41h         Normal    Pulling                   pod/nginx-2                                               Pulling image "nginx"
41h         Normal    Pulled                    pod/nginx-2                                               Successfully pulled image "nginx" in 599ms (599ms including waiting)
41h         Normal    Created                   pod/nginx-2                                               Created container nginx-container
41h         Normal    Started                   pod/nginx-2                                               Started container nginx-container
56m         Normal    SandboxChanged            pod/nginx-2                                               Pod sandbox changed, it will be killed and re-created.
56m         Normal    Pulling                   pod/nginx-2                                               Pulling image "nginx"
56m         Normal    Pulled                    pod/nginx-2                                               Successfully pulled image "nginx" in 599ms (599ms including waiting)
56m         Normal    Created                   pod/nginx-2                                               Created container nginx-container
56m         Normal    Started                   pod/nginx-2                                               Started container nginx-container
ubuntu@ip-172-31-40-74:~$
